trsx_id,amount,price,products_price,cart_id,product_id
TRX000001,10,336.37,3363.7,CRT00519,PRD0152
TRX000002,5,164.79,823.9499999999999,CRT00992,PRD0050
TRX000003,8,288.19,2305.52,CRT00421,PRD0176
TRX000004,2,252.15,504.3,CRT01364,PRD0059
TRX000005,6,164.79,988.74,CRT02032,PRD0050
TRX000006,6,85.85,515.0999999999999,CRT00120,PRD0184
TRX000007,4,332.64,1330.56,CRT02277,PRD0119
TRX000008,5,209.57,1047.85,CRT02301,PRD0027
TRX000009,8,278.04,2224.32,CRT01556,PRD0163
TRX000010,5,207.27,1036.35,CRT03179,PRD0006
TRX000011,6,310.43,1862.58,CRT01242,PRD0113
TRX000012,1,344.39,344.39,CRT00488,PRD0149
TRX000013,3,144.4,433.2000000000001,CRT03089,PRD0200
TRX000014,5,327.59,1637.9499999999998,CRT01605,PRD0047
TRX000015,1,238.97,238.97,CRT00032,PRD0026
TRX000016,6,311.57,1869.42,CRT00555,PRD0194
TRX000017,4,301.82,1207.28,CRT01753,PRD0054
TRX000018,8,349.75,2798.0,CRT03014,PRD0055
TRX000019,8,267.47,2139.76,CRT00738,PRD0033
TRX000020,3,281.93,845.79,CRT03159,PRD0116
TRX000021,10,57.82,578.2,CRT01838,PRD0089
TRX000022,1,327.31,327.31,CRT01796,PRD0067
TRX000023,9,291.12,2620.08,CRT00611,PRD0120
TRX000024,5,30.34,151.7,CRT00530,PRD0063
TRX000025,9,120.9,1088.1,CRT02296,PRD0175
TRX000026,10,301.87,3018.7,CRT01972,PRD0121
TRX000027,7,209.57,1466.99,CRT01609,PRD0027
TRX000028,6,69.32,415.92,CRT03006,PRD0012
TRX000029,4,95.22,380.88,CRT00491,PRD0029
TRX000030,10,311.57,3115.7,CRT02748,PRD0194
TRX000031,5,151.12,755.6,CRT02305,PRD0081
TRX000032,6,223.15,1338.9,CRT03233,PRD0016
TRX000033,1,10.72,10.72,CRT00239,PRD0092
TRX000034,4,163.96,655.84,CRT02938,PRD0118
TRX000035,8,143.73,1149.84,CRT01694,PRD0056
TRX000036,6,99.1,594.5999999999999,CRT03369,PRD0014
TRX000037,5,149.12,745.6,CRT02121,PRD0003
TRX000038,9,171.38,1542.42,CRT00632,PRD0037
TRX000039,1,289.44,289.44,CRT02480,PRD0155
TRX000040,8,301.82,2414.56,CRT01775,PRD0054
