product_id,product_name,product_price_original,currency_original,price_date,product_source
PRD0001,Peinture 125,260.19,EUR,2026-07-08,INTERNE
PRD0002,Marteau 854,38.12,EUR,2026-07-24,INTERNE
PRD0003,Peinture 704,149.12,EUR,2026-07-01,INTERNE
PRD0004,Vis 338,178.11,EUR,2026-07-01,INTERNE
PRD0005,Vis 833,228.33,EUR,2026-07-18,INTERNE
PRD0006,Vis 559,207.27,EUR,2026-07-26,INTERNE
PRD0007,Marteau 814,149.36,EUR,2026-07-09,INTERNE
PRD0008,Vis 881,119.47,EUR,2026-07-03,INTERNE
PRD0009,Peinture 467,297.0,EUR,2026-07-20,INTERNE
PRD0010,Perceuse 847,162.15,EUR,2026-07-04,INTERNE
PRD0011,Peinture 665,104.38,EUR,2026-07-21,INTERNE
PRD0012,Carrelage 691,69.32,EUR,2026-07-03,INTERNE
PRD0013,Vis 891,103.06,EUR,2026-07-03,INTERNE
PRD0014,Peinture 489,99.1,EUR,2026-07-21,INTERNE
PRD0015,Marteau 479,125.96,EUR,2026-07-22,INTERNE
PRD0016,Peinture 723,223.15,EUR,2026-07-18,INTERNE
PRD0017,Marteau 573,134.36,EUR,2026-07-21,INTERNE
PRD0018,Vis 801,115.19,EUR,2026-07-25,INTERNE
PRD0019,Vis 941,13.65,EUR,2026-07-11,INTERNE
PRD0020,Planche 167,75.82,EUR,2026-07-19,INTERNE
PRD0021,Vis 771,175.98,EUR,2026-07-21,INTERNE
PRD0022,Marteau 371,51.02,EUR,2026-07-24,INTERNE
PRD0023,Pince 369,262.09,EUR,2026-07-14,INTERNE
PRD0024,Tournevis 470,78.71,EUR,2026-07-05,INTERNE
PRD0025,Scie 193,265.13,EUR,2026-07-04,INTERNE
PRD0026,Marteau 911,238.97,EUR,2026-07-20,INTERNE
PRD0027,Tournevis 490,209.57,EUR,2026-07-15,INTERNE
PRD0028,Planche 666,301.62,EUR,2026-07-01,INTERNE
PRD0029,Pince 868,95.22,EUR,2026-07-21,INTERNE
PRD0030,Peinture 400,153.58,EUR,2026-07-15,INTERNE
PRD0031,Planche 612,267.28,EUR,2026-07-17,INTERNE
PRD0032,Planche 961,224.53,EUR,2026-07-20,INTERNE
PRD0033,Marteau 482,267.47,EUR,2026-07-18,INTERNE
PRD0034,Perceuse 713,115.14,EUR,2026-07-01,INTERNE
PRD0035,Carrelage 999,344.9,EUR,2026-07-26,INTERNE
PRD0036,Vis 159,86.2,EUR,2026-07-19,INTERNE
PRD0037,Peinture 849,171.38,EUR,2026-07-03,INTERNE
PRD0038,Marteau 231,231.76,EUR,2026-07-18,INTERNE
PRD0039,Planche 640,305.67,EUR,2026-07-14,INTERNE
PRD0040,Pince 873,256.15,EUR,2026-07-07,INTERNE
PRD0041,Tournevis 787,228.33,EUR,2026-07-15,INTERNE
PRD0042,Scie 223,88.65,EUR,2026-07-03,INTERNE
PRD0043,Perceuse 702,194.99,EUR,2026-07-19,INTERNE
PRD0044,Perceuse 172,248.47,EUR,2026-07-02,INTERNE
PRD0045,Peinture 132,301.22,EUR,2026-07-03,INTERNE
PRD0046,Vis 385,234.97,EUR,2026-07-07,INTERNE
PRD0047,Marteau 840,327.59,EUR,2026-07-19,INTERNE
PRD0048,Scie 348,275.16,EUR,2026-07-26,INTERNE
PRD0049,Vis 196,36.18,EUR,2026-07-14,INTERNE
PRD0050,Tournevis 520,164.79,EUR,2026-07-24,INTERNE
PRD0051,Peinture 162,142.41,EUR,2026-07-11,INTERNE
