product_id,product_name,product_price,price_date
PRD0001,Peinture 125,260.19,2026-07-08
PRD0002,Marteau 854,38.12,2026-07-24
PRD0003,Peinture 704,149.12,2026-07-01
PRD0004,Vis 338,178.11,2026-07-01
PRD0005,Vis 833,228.33,2026-07-18
PRD0006,Vis 559,207.27,2026-07-26
PRD0007,Marteau 814,149.36,2026-07-09
PRD0008,Vis 881,119.47,2026-07-03
PRD0009,Peinture 467,297.0,2026-07-20
PRD0010,Perceuse 847,162.15,2026-07-04
PRD0011,Peinture 665,104.38,2026-07-21
PRD0012,Carrelage 691,69.32,2026-07-03
PRD0013,Vis 891,103.06,2026-07-03
PRD0014,Peinture 489,99.1,2026-07-21
PRD0015,Marteau 479,125.96,2026-07-22
PRD0016,Peinture 723,223.15,2026-07-18
PRD0017,Marteau 573,134.36,2026-07-21
PRD0018,Vis 801,115.19,2026-07-25
PRD0019,Vis 941,13.65,2026-07-11
PRD0020,Planche 167,75.82,2026-07-19
PRD0021,Vis 771,175.98,2026-07-21
PRD0022,Marteau 371,51.02,2026-07-24
PRD0023,Pince 369,262.09,2026-07-14
PRD0024,Tournevis 470,78.71,2026-07-05
PRD0025,Scie 193,265.13,2026-07-04
PRD0026,Marteau 911,238.97,2026-07-20
PRD0027,Tournevis 490,209.57,2026-07-15
PRD0028,Planche 666,301.62,2026-07-01
PRD0029,Pince 868,95.22,2026-07-21
PRD0030,Peinture 400,153.58,2026-07-15
PRD0031,Planche 612,267.28,2026-07-17
PRD0032,Planche 961,224.53,2026-07-20
PRD0033,Marteau 482,267.47,2026-07-18
PRD0034,Perceuse 713,115.14,2026-07-01
PRD0035,Carrelage 999,344.9,2026-07-26
PRD0036,Vis 159,86.2,2026-07-19
PRD0037,Peinture 849,171.38,2026-07-03
PRD0038,Marteau 231,231.76,2026-07-18
PRD0039,Planche 640,305.67,2026-07-14
PRD0040,Pince 873,256.15,2026-07-07
PRD0041,Tournevis 787,228.33,2026-07-15
PRD0042,Scie 223,88.65,2026-07-03
PRD0043,Perceuse 702,194.99,2026-07-19
PRD0044,Perceuse 172,248.47,2026-07-02
PRD0045,Peinture 132,301.22,2026-07-03
PRD0046,Vis 385,234.97,2026-07-07
PRD0047,Marteau 840,327.59,2026-07-19
PRD0048,Scie 348,275.16,2026-07-26
PRD0049,Vis 196,36.18,2026-07-14
PRD0050,Tournevis 520,164.79,2026-07-24
PRD0051,Peinture 162,142.41,2026-07-11
PRD0052,Vis 296,68.6,2026-07-15
PRD0053,Tournevis 287,99.29,2026-07-08
PRD0054,Scie 927,301.82,2026-07-18
PRD0055,Perceuse 767,349.75,2026-07-01
PRD0056,Vis 270,143.73,2026-07-16
PRD0057,Tournevis 160,59.71,2026-07-01
PRD0058,Planche 902,275.33,2026-07-10
PRD0059,Pince 777,252.15,2026-07-05
PRD0060,Planche 322,339.13,2026-07-19
PRD0061,Perceuse 865,111.48,2026-07-02
PRD0062,Scie 614,321.99,2026-07-17
PRD0063,Perceuse 620,30.34,2026-07-06
PRD0064,Ampoule 169,237.14,2026-07-08
PRD0065,Peinture 683,88.06,2026-07-20
PRD0066,Ampoule 183,148.18,2026-07-19
PRD0067,Pince 423,327.31,2026-07-07
PRD0068,Vis 371,140.04,2026-07-22
PRD0069,Planche 568,112.37,2026-07-25
PRD0070,Perceuse 569,218.35,2026-07-19
PRD0071,Peinture 650,76.57,2026-07-09
PRD0072,Carrelage 170,308.05,2026-07-12
PRD0073,Marteau 548,292.23,2026-07-23
PRD0074,Ampoule 926,229.76,2026-07-01
PRD0075,Planche 779,38.5,2026-07-05
PRD0076,Peinture 209,260.49,2026-07-05
PRD0077,Planche 719,75.69,2026-07-11
PRD0078,Planche 617,172.26,2026-07-02
PRD0079,Tournevis 949,98.65,2026-07-01
PRD0080,Marteau 752,342.98,2026-07-06
PRD0081,Pince 822,151.12,2026-07-01
PRD0082,Peinture 807,316.62,2026-07-18
PRD0083,Carrelage 696,194.5,2026-07-14
PRD0084,Perceuse 415,129.22,2026-07-26
PRD0085,Carrelage 315,239.52,2026-07-22
PRD0086,Carrelage 898,197.06,2026-07-14
PRD0087,Marteau 342,302.95,2026-07-26
PRD0088,Tournevis 125,64.83,2026-07-11
PRD0089,Vis 373,57.82,2026-07-23
PRD0090,Tournevis 993,15.96,2026-07-16
PRD0091,Vis 936,321.66,2026-07-12
PRD0092,Vis 328,10.72,2026-07-07
PRD0093,Carrelage 385,302.86,2026-07-25
PRD0094,Carrelage 756,179.52,2026-07-22
PRD0095,Carrelage 128,42.58,2026-07-09
PRD0096,Ampoule 371,15.79,2026-07-20
PRD0097,Carrelage 846,275.78,2026-07-14
PRD0098,Pince 218,136.36,2026-07-19
PRD0099,Planche 145,248.8,2026-07-01
PRD0100,Pince 803,252.5,2026-07-24
PRD0101,Carrelage 541,26.82,2026-07-22
PRD0102,Ampoule 421,233.03,2026-07-04
PRD0103,Pince 416,234.25,2026-07-11
PRD0104,Planche 667,46.73,2026-07-14
PRD0105,Marteau 730,200.26,2026-07-13
PRD0106,Perceuse 411,102.2,2026-07-14
PRD0107,Ampoule 770,114.48,2026-07-15
PRD0108,Vis 623,166.93,2026-07-26
PRD0109,Peinture 390,181.62,2026-07-21
PRD0110,Carrelage 195,286.9,2026-07-25
PRD0111,Planche 330,282.78,2026-07-05
PRD0112,Perceuse 350,344.42,2026-07-20
PRD0113,Scie 524,310.43,2026-07-19
PRD0114,Tournevis 606,141.38,2026-07-05
PRD0115,Perceuse 868,301.5,2026-07-04
PRD0116,Vis 280,281.93,2026-07-23
PRD0117,Scie 151,196.2,2026-07-04
PRD0118,Marteau 920,163.96,2026-07-17
PRD0119,Ampoule 424,332.64,2026-07-15
PRD0120,Pince 536,291.12,2026-07-18
PRD0121,Marteau 861,301.87,2026-07-15
PRD0122,Vis 960,224.09,2026-07-25
PRD0123,Scie 741,85.64,2026-07-15
PRD0124,Planche 340,96.92,2026-07-11
PRD0125,Peinture 241,54.91,2026-07-13
PRD0126,Vis 165,146.67,2026-07-11
PRD0127,Scie 525,24.14,2026-07-14
PRD0128,Ampoule 812,9.29,2026-07-25
PRD0129,Tournevis 588,4.55,2026-07-12
PRD0130,Tournevis 973,312.35,2026-07-14
PRD0131,Pince 919,212.13,2026-07-08
PRD0132,Vis 379,153.95,2026-07-01
PRD0133,Carrelage 784,238.5,2026-07-13
PRD0134,Scie 230,343.3,2026-07-18
PRD0135,Tournevis 706,198.63,2026-07-01
PRD0136,Tournevis 238,303.73,2026-07-06
PRD0137,Planche 488,116.26,2026-07-15
PRD0138,Carrelage 879,308.17,2026-07-09
PRD0139,Planche 954,30.96,2026-07-01
PRD0140,Perceuse 458,80.42,2026-07-03
PRD0141,Perceuse 872,13.28,2026-07-08
PRD0142,Perceuse 736,55.45,2026-07-05
PRD0143,Peinture 677,331.85,2026-07-15
PRD0144,Carrelage 271,213.05,2026-07-24
PRD0145,Marteau 418,40.06,2026-07-01
PRD0146,Ampoule 793,318.04,2026-07-13
PRD0147,Vis 177,208.25,2026-07-21
PRD0148,Peinture 813,270.94,2026-07-22
PRD0149,Peinture 915,344.39,2026-07-26
PRD0150,Carrelage 645,151.36,2026-07-12
PRD0151,Pince 763,121.08,2026-07-14
PRD0152,Peinture 543,336.37,2026-07-21
PRD0153,Marteau 545,63.71,2026-07-17
PRD0154,Planche 730,283.35,2026-07-18
PRD0155,Scie 546,289.44,2026-07-19
PRD0156,Carrelage 972,87.81,2026-07-03
PRD0157,Scie 349,263.29,2026-07-19
PRD0158,Tournevis 444,12.47,2026-07-11
PRD0159,Scie 317,125.8,2026-07-09
PRD0160,Planche 710,246.16,2026-07-09
PRD0161,Perceuse 629,331.95,2026-07-03
PRD0162,Tournevis 600,195.42,2026-07-08
PRD0163,Scie 558,278.04,2026-07-03
PRD0164,Vis 514,242.9,2026-07-10
PRD0165,Carrelage 584,194.83,2026-07-12
PRD0166,Pince 438,124.75,2026-07-15
PRD0167,Planche 357,82.61,2026-07-24
PRD0168,Carrelage 222,260.65,2026-07-25
PRD0169,Vis 321,259.17,2026-07-09
PRD0170,Pince 711,100.84,2026-07-04
PRD0171,Planche 332,127.91,2026-07-10
PRD0172,Pince 229,97.82,2026-07-02
PRD0173,Planche 814,330.57,2026-07-21
PRD0174,Peinture 993,6.76,2026-07-10
PRD0175,Scie 551,120.9,2026-07-02
PRD0176,Scie 216,288.19,2026-07-13
PRD0177,Peinture 690,221.23,2026-07-02
PRD0178,Marteau 930,198.09,2026-07-10
PRD0179,Vis 221,196.43,2026-07-14
PRD0180,Ampoule 909,217.4,2026-07-25
