trsx_id,client_id,cart_id,product_id,date,amount,price,products_price,cart_price
TRX000001,CLI0349,CRT00519,PRD0152,2026-04-12 07:24:58,10,336.37,3363.7,4507.13
TRX000002,CLI0335,CRT00992,PRD0050,2026-03-31 01:20:13,5,164.79,823.9499999999999,1606.03
TRX000003,CLI0246,CRT00421,PRD0176,2026-04-29 16:12:53,8,288.19,2305.52,6573.8
TRX000004,CLI0249,CRT01364,PRD0059,2026-01-14 15:52:09,2,252.15,504.3,5839.25
TRX000005,CLI0057,CRT02032,PRD0050,2026-07-07 02:10:57,6,164.79,988.74,988.74
TRX000006,CLI0418,CRT00120,PRD0184,2026-02-18 12:29:39,6,85.85,515.0999999999999,1793.4
TRX000007,CLI0392,CRT02277,PRD0119,2026-04-03 01:35:54,4,332.64,1330.56,5102.299999999999
TRX000008,CLI0261,CRT02301,PRD0027,2026-05-30 17:48:12,5,209.57,1047.85,3114.98
TRX000009,CLI0268,CRT01556,PRD0163,2026-07-15 12:27:12,8,278.04,2224.32,3991.82
TRX000010,CLI0398,CRT03179,PRD0006,2026-04-27 20:04:57,5,207.27,1036.3500000000001,4591.84
TRX000011,CLI0327,CRT01242,PRD0113,2026-02-01 04:22:05,6,310.43,1862.58,2870.76
TRX000012,CLI0233,CRT00488,PRD0149,2026-06-02 21:30:10,1,344.39,344.39,2829.07
TRX000013,CLI0161,CRT03089,PRD0200,2026-02-13 10:45:45,3,144.4,433.20000000000005,4585.99
TRX000014,CLI0347,CRT01605,PRD0047,2026-01-22 04:20:26,5,327.59,1637.9499999999998,4535.86
TRX000015,CLI0366,CRT00032,PRD0026,2026-01-09 18:16:51,1,238.97,238.97,2775.53
TRX000016,CLI0372,CRT00555,PRD0194,2026-05-24 21:13:26,6,311.57,1869.42,3247.4
TRX000017,CLI0225,CRT01753,PRD0054,2026-06-11 11:32:53,4,301.82,1207.28,2422.2
TRX000018,CLI0029,CRT03014,PRD0055,2026-07-11 05:01:01,8,349.75,2798.0,5123.43
TRX000019,CLI0331,CRT00738,PRD0033,2026-02-09 19:31:40,8,267.47,2139.76,4736.43
TRX000020,CLI0155,CRT03159,PRD0116,2026-03-20 18:16:49,3,281.93,845.79,4599.93
TRX000021,CLI0434,CRT01838,PRD0089,2026-07-04 05:23:25,10,57.82,578.2,1665.2
TRX000022,CLI0422,CRT01796,PRD0067,2026-03-14 06:53:40,1,327.31,327.31,1882.61
TRX000023,CLI0231,CRT00611,PRD0120,2026-02-16 20:48:15,9,291.12,2620.08,4147.82
TRX000024,CLI0411,CRT00530,PRD0063,2026-05-21 22:21:21,5,30.34,151.7,3303.33
TRX000025,CLI0391,CRT02296,PRD0175,2026-06-07 21:23:01,9,120.9,1088.1000000000001,2201.19
TRX000026,CLI0117,CRT01972,PRD0121,2026-01-31 20:27:40,10,301.87,3018.7,13128.26
TRX000027,CLI0187,CRT01609,PRD0027,2026-02-20 12:19:45,7,209.57,1466.99,3642.2299999999996
TRX000028,CLI0186,CRT03006,PRD0012,2026-01-01 07:24:04,6,69.32,415.91999999999996,4161.92
TRX000029,CLI0009,CRT00491,PRD0029,2026-02-21 19:01:52,4,95.22,380.88,7208.9
TRX000030,CLI0046,CRT02748,PRD0194,2026-04-03 12:08:34,10,311.57,3115.7,4406.719999999999
TRX000031,CLI0199,CRT02305,PRD0081,2026-07-12 23:29:10,5,151.12,755.6,3887.46
TRX000032,CLI0153,CRT03233,PRD0016,2026-01-03 06:30:19,6,223.15,1338.9,3633.4700000000003
TRX000033,CLI0435,CRT00239,PRD0092,2026-05-01 18:03:10,1,10.72,10.72,1373.21
TRX000034,CLI0048,CRT02938,PRD0118,2026-05-07 06:36:31,4,163.96,655.84,895.36
TRX000035,CLI0361,CRT01694,PRD0056,2026-05-13 06:47:30,8,143.73,1149.84,2630.7799999999997
TRX000036,CLI0318,CRT03369,PRD0014,2026-06-29 14:43:46,6,99.1,594.5999999999999,3563.2999999999997
TRX000037,CLI0166,CRT02121,PRD0003,2026-03-08 13:40:19,5,149.12,745.6,745.6
TRX000038,CLI0102,CRT00632,PRD0037,2026-05-28 20:58:03,9,171.38,1542.42,1704.5700000000002
TRX000039,CLI0122,CRT02480,PRD0155,2026-07-05 21:46:30,1,289.44,289.44,1321.32
TRX000040,CLI0134,CRT01775,PRD0054,2026-02-14 21:35:28,8,301.82,2414.56,5414.35
TRX000041,CLI0256,CRT02307,PRD0019,2026-05-13 16:54:12,9,13.65,122.85000000000001,243.55
TRX000042,CLI0068,CRT00908,PRD0041,2026-02-22 23:45:20,1,228.33,228.33,3554.94
TRX000043,CLI0421,CRT02443,PRD0090,2026-02-19 02:18:00,6,15.96,95.76,402.03999999999996
TRX000044,CLI0365,CRT02061,PRD0125,2026-04-28 04:42:38,4,54.91,219.64,2974.2
TRX000045,CLI0431,CRT02033,PRD0160,2026-04-06 09:27:26,9,246.16,2215.44,4502.76
TRX000046,CLI0054,CRT02046,PRD0118,2026-03-25 18:48:12,4,163.96,655.84,3181.71
TRX000047,CLI0106,CRT02905,PRD0037,2026-02-17 00:07:51,4,171.38,685.52,9444.0
TRX000048,CLI0314,CRT00237,PRD0090,2026-01-14 00:25:26,9,15.96,143.64000000000001,1314.89
TRX000049,CLI0004,CRT00104,PRD0141,2026-05-11 13:37:31,6,13.28,79.67999999999999,3420.6499999999996
TRX000050,CLI0103,CRT02566,PRD0020,2026-01-16 06:39:10,7,75.82,530.74,1689.65
TRX000051,CLI0110,CRT00811,PRD0075,2026-03-22 00:47:24,10,38.5,385.0,3751.6800000000003
TRX000052,CLI0039,CRT02329,PRD0145,2026-04-02 03:00:02,4,40.06,160.24,4693.49
TRX000053,CLI0199,CRT01749,PRD0026,2026-01-03 14:18:28,3,238.97,716.91,4692.539999999999
TRX000054,CLI0189,CRT02378,PRD0085,2026-05-13 00:24:07,10,239.52,2395.2000000000003,2548.26
TRX000055,CLI0047,CRT01133,PRD0191,2026-02-25 05:03:28,2,288.92,577.84,1942.77
